"","state","icpsrState","cd","icpsrLegis","party","partyCode"
"COCHRAN (R MS)","MS",46,0,14009,"R",200
"GRASSLEY (R IA)","IA",31,0,14226,"R",200
"LEAHY (D VT)","VT",6,0,14307,"D",100
"MARKEY (D MA)","MA",3,0,14435,"D",100
"MIKULSKI (D MD)","MD",52,0,14440,"D",100
"HATCH (R UT)","UT",67,0,14503,"R",200
"NELSON (D FL)","FL",43,0,14651,"D",100
"COATS (R IN)","IN",22,0,14806,"R",200
"ROBERTS (R KS)","KS",32,0,14852,"R",200
"SCHUMER (D NY)","NY",13,0,14858,"D",100
"WYDEN (D OR)","OR",72,0,14871,"D",100
"MCCONNELL (R KY)","KY",51,0,14921,"R",200
"BOXER (D CA)","CA",71,0,15011,"D",100
"CARPER (D DE)","DE",11,0,15015,"D",100
"DURBIN (D IL)","IL",21,0,15021,"D",100
"MCCAIN (R AZ)","AZ",61,0,15039,"R",200
"REID (D NV)","NV",65,0,15054,"D",100
"CARDIN (D MD)","MD",52,0,15408,"D",100
"INHOFE (R OK)","OK",53,0,15424,"R",200
"FLAKE (R AZ)","AZ",61,0,20100,"R",200
"BOOZMAN (R AR)","AR",42,0,20101,"R",200
"KIRK (R IL)","IL",21,0,20115,"R",200
"MURPHY (D CT)","CT",1,0,20707,"D",100
"HIRONO (D HI)","HI",82,0,20713,"D",100
"DONNELLY (D IN)","IN",22,0,20717,"D",100
"HELLER (R NV)","NV",65,0,20730,"R",200
"GILLIBRAND (D NY)","NY",13,0,20735,"D",100
"CASSIDY (R LA)","LA",45,0,20919,"R",200
"PETERS (D MI)","MI",23,0,20923,"D",100
"HEINRICH (D NM)","NM",66,0,20930,"D",100
"GARDNER (R CO)","CO",62,0,21112,"R",200
"LANKFORD (R OK)","OK",53,0,21166,"R",200
"SCOTT (R SC)","SC",48,0,21173,"R",200
"COTTON (R AR)","AR",42,0,21301,"R",200
"DAINES (R MT)","MT",64,0,21338,"R",200
"REED (D RI)","RI",5,0,29142,"D",100
"SANDERS (Indep VT)","VT",6,0,29147,"Indep",328
"CRAPO (R ID)","ID",63,0,29345,"R",200
"MENENDEZ (D NJ)","NJ",12,0,29373,"D",100
"PORTMAN (R OH)","OH",24,0,29386,"R",200
"BROWN (D OH)","OH",24,0,29389,"D",100
"WICKER (R MS)","MS",46,0,29534,"R",200
"BURR (R NC)","NC",47,0,29548,"R",200
"GRAHAM (R SC)","SC",48,0,29566,"R",200
"MORAN (R KS)","KS",32,0,29722,"R",200
"STABENOW (D MI)","MI",23,0,29732,"D",100
"BLUNT (R MO)","MO",34,0,29735,"R",200
"THUNE (R SD)","SD",37,0,29754,"R",200
"ISAKSON (R GA)","GA",44,0,29909,"R",200
"VITTER (R LA)","LA",45,0,29918,"R",200
"UDALL (D NM)","NM",66,0,29924,"D",100
"TOOMEY (R PA)","PA",14,0,29935,"R",200
"BALDWIN (D WI)","WI",25,0,29940,"D",100
"CANTWELL (D WA)","WA",73,0,39310,"D",100
"MURKOWSKI (R AK)","AK",81,0,40300,"R",200
"ALEXANDER (R TN)","TN",54,0,40304,"R",200
"CORNYN (R TX)","TX",49,0,40305,"R",200
"KLOBUCHAR (D MN)","MN",33,0,40700,"D",100
"MCCASKILL (D MO)","MO",34,0,40701,"D",100
"TESTER (D MT)","MT",64,0,40702,"D",100
"CASEY (D PA)","PA",14,0,40703,"D",100
"WHITEHOUSE (D RI)","RI",5,0,40704,"D",100
"CORKER (R TN)","TN",54,0,40705,"R",200
"BARASSO (R WY)","WY",68,0,40707,"R",200
"RISCH (R ID)","ID",63,0,40902,"R",200
"FRANKEN (D MN)","MN",33,0,40904,"D",100
"SHAHEEN (D NH)","NH",4,0,40906,"D",100
"MERKLEY (D OR)","OR",72,0,40908,"D",100
"WARNER (D VA)","VA",40,0,40909,"D",100
"BENNET (D CO)","CO",62,0,40910,"D",100
"MANCHIN (D WV)","WV",56,0,40915,"D",100
"COONS (D DE)","DE",11,0,40916,"D",100
"BLUMENTHAL (D CT)","CT",1,0,41101,"D",100
"RUBIO (R FL)","FL",43,0,41102,"R",200
"PAUL (R KY)","KY",51,0,41104,"R",200
"AYOTTE (R NH)","NH",4,0,41106,"R",200
"HOEVEN (R ND)","ND",36,0,41107,"R",200
"LEE (R UT)","UT",67,0,41110,"R",200
"JOHNSON (R WI)","WI",25,0,41111,"R",200
"SCHATZ (D HI)","HI",82,0,41112,"D",100
"KING (Indep ME)","ME",2,0,41300,"Indep",328
"WARREN (D MA)","MA",3,0,41301,"D",100
"FISCHER (R NE)","NE",35,0,41302,"R",200
"HEITKAMP (D ND)","ND",36,0,41303,"D",100
"CRUZ (R TX)","TX",49,0,41304,"R",200
"KAINE (D VA)","VA",40,0,41305,"D",100
"BOOKER (D NJ)","NJ",12,0,41308,"D",100
"SULLIVAN (R AK)","AK",81,0,41500,"R",200
"PERDUE (R GA)","GA",44,0,41501,"R",200
"ERNST (R IA)","IA",31,0,41502,"R",200
"SASSE (R NE)","NE",35,0,41503,"R",200
"TILLIS (R NC)","NC",47,0,41504,"R",200
"ROUNDS (R SD)","SD",37,0,41505,"R",200
"FEINSTEIN (D CA)","CA",71,0,49300,"D",100
"MURRAY (D WA)","WA",73,0,49308,"D",100
"SESSIONS (R AL)","AL",41,0,49700,"R",200
"COLLINS (R ME)","ME",2,0,49703,"R",200
"ENZI (R WY)","WY",68,0,49706,"R",200
"SHELBY (R AL)","AL",41,0,94659,"R",200
"CAPITO (R WV)","WV",56,0,20146,"R",200
