,issue,nay,question,result,title,vote_date,vote_number,yea
00001,H.R. 26,66,On the Amendment ,Rejected,Warren Amdt. No. 1; In the nature of a substitute.,08-Jan,00001,31
00002,H.R. 26,4,On Passage of the Bill,Passed,"H.R. 26; A bill to extend the termination date of the Terrorism Insurance Program established under the Terrorism Risk Insurance Act of 2002, and for other purposes.",08-Jan,00002,93
00003,S. 1,32,On Cloture on the Motion to Proceed,Agreed to,Motion to Invoke Cloture on the Motion to Proceed to S.1; A bill to approve the Keystone XL Pipeline.,12-Jan,00003,63
00004,S. 1,42,On the Motion to Table ,Agreed to,Motion to Table Markey Amdt. No. 13; To ensure that oil transported through the Keystone XL pipeline into the United States is used to reduce United States dependence on Middle Eastern oil.,20-Jan,00004,57
00005,S. 1,46,On the Motion to Table ,Agreed to,"Motion to Table Franken Amdt. No. 17; To require the use of iron, steel, and manufactured goods produced in the United States in the construction of the Keystone XL Pipeline and facilities.",20-Jan,00005,53
00006,S. 1,5,On the Amendment ,Agreed to,Portman Amdt. No. 3 As Modified; To promote energy efficiency.,20-Jan,00006,94
00007,S. 1,45,On the Amendment ,Rejected,Lee Amdt. No. 33; To conform citizen suits under the Endangered Species Act of 1973.,21-Jan,00007,54
00008,S. 1,58,On the Amendment ,Rejected,Durbin Amdt. No. 69; To ensure that the storage and transportation of petroleum coke is regulated in a manner that ensures the protection of public and ecological health.,21-Jan,00008,41
00009,S. 1,45,On the Amendment ,Rejected,"Toomey Amdt. No. 41; To continue cleaning up fields and streams while protecting neighborhoods, generating affordable energy, and creating jobs.",21-Jan,00009,54
00010,S. 1,1,On the Amendment ,Agreed to,Whitehouse Amdt. No. 29; To express the sense of the Senate that climate change is real and not a hoax.,21-Jan,00010,98
00011,S. 1,40,On the Amendment ,Rejected,"Hoeven Amdt. No. 87, As Modified; To express the sense of Congress regarding climate change.",21-Jan,00011,59
00012,S. 1,49,On the Amendment ,Rejected,Schatz Amdt. No. 58; To express the sense of Congress regarding climate change.,21-Jan,00012,50
00013,S. 1,44,On the Amendment ,Rejected,Boxer Amdt. No. 113; To express the sense of Congress regarding federally protected land.,22-Jan,00013,55
00014,S. 1,45,On the Amendment ,Rejected,"Fischer Amdt. No. 18, As Modified; To provide limits on the designation of new federally protected land.",22-Jan,00014,54
