State,Latitude,Longitude,State2,Abbreviation
Alabama,32.806671,-86.79113,ALABAMA,AL
Alaska,61.370716,-152.404419,ALASKA,AK
Arizona,33.729759,-111.431221,ARIZONA,AZ
Arkansas,34.969704,-92.373123,ARKANSAS,AR
California,36.116203,-119.681564,CALIFORNIA,CA
Colorado,39.059811,-105.311104,COLORADO,CO
Connecticut,41.597782,-72.755371,CONNECTICUT,CT
Delaware,39.318523,-75.507141,DELAWARE,DE
District of Columbia,38.897438,-77.026817,District of Columbia,DC
Florida,27.766279,-81.686783,FLORIDA,FL
Georgia,33.040619,-83.643074,GEORGIA,GA
Hawaii,21.094318,-157.498337,HAWAII,HI
Idaho,44.240459,-114.478828,IDAHO,ID
Illinois,40.349457,-88.986137,ILLINOIS,IL
Indiana,39.849426,-86.258278,INDIANA,IN
Iowa,42.011539,-93.210526,IOWA,IA
Kansas,38.5266,-96.726486,KANSAS,KS
Kentucky,37.66814,-84.670067,KENTUCKY,KY
Louisiana,31.169546,-91.867805,LOUISIANA,LA
Maine,44.693947,-69.381927,MAINE,ME
Maryland,39.063946,-76.802101,MARYLAND,MD
Massachusetts,42.230171,-71.530106,MASSACHUSETTS,MA
Michigan,43.326618,-84.536095,MICHIGAN,MI
Minnesota,45.694454,-93.900192,MINNESOTA,MN
Mississippi,32.741646,-89.678696,MISSISSIPPI,MS
Missouri,38.456085,-92.288368,MISSOURI,MO
Montana,46.921925,-110.454353,MONTANA,MT
Nebraska,41.12537,-98.268082,NEBRASKA,NE
Nevada,38.313515,-117.055374,NEVADA,NV
New Hampshire,43.452492,-71.563896,NEW HAMPSHIRE,NH
New Jersey,40.298904,-74.521011,NEW JERSEY,NJ
New Mexico,34.840515,-106.248482,NEW MEXICO,NM
New York,42.165726,-74.948051,NEW YORK,NY
North Carolina,35.630066,-79.806419,NORTH CAROLINA,NC
North Dakota,47.528912,-99.784012,NORTH DAKOTA,ND
Ohio,40.388783,-82.764915,OHIO,OH
Oklahoma,35.565342,-96.928917,OKLAHOMA,OK
Oregon,44.572021,-122.070938,OREGON,OR
Pennsylvania,40.590752,-77.209755,PENNSYLVANIA,PA
Rhode Island,41.680893,-71.51178,RHODE ISLAND,RI
South Carolina,33.856892,-80.945007,SOUTH CAROLINA,SC
South Dakota,44.299782,-99.438828,SOUTH DAKOTA,SD
Tennessee,35.747845,-86.692345,TENNESSEE,TN
Texas,31.054487,-97.563461,TEXAS,TX
Utah,40.150032,-111.862434,UTAH,UT
Vermont,44.045876,-72.710686,VERMONT,VT
Virginia,37.769337,-78.169968,VIRGINIA,VA
Washington,47.400902,-121.490494,WASHINGTON,WA
West Virginia,38.491226,-80.954453,WEST VIRGINIA,WV
Wisconsin,44.268543,-89.616508,WISCONSIN,WI
Wyoming,42.755966,-107.30249,WYOMING,WY
